Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 15:33:45, Thursday, March 20, 2025	0.500	1600.5	1468.5	-	91.8	0.0	2404.4	96.5	2381.5	38.5	98.5	1.6	1.6	0.0	0.0	2404.4	96.5	2381.5	38.5
15:33:46, Thursday, March 20, 2025	1.109	1606.0	1463.0	-	91.1	0.0	2404.5	96.4	2381.5	27.5	98.5	1.6	1.6	0.0	0.0	2404.5	96.4	2381.5	27.5
15:33:47, Thursday, March 20, 2025	1.766	1606.0	1468.5	-	91.4	0.0	2404.4	96.1	2354.0	33.0	98.5	1.6	1.6	0.0	0.0	2404.4	96.1	2354.0	33.0
15:33:47, Thursday, March 20, 2025	2.422	1606.0	1468.5	-	91.4	0.0	2404.5	96.4	2403.5	49.5	98.5	1.6	1.6	0.0	0.0	2404.5	96.4	2403.5	49.5
15:33:48, Thursday, March 20, 2025	3.016	1606.0	1463.0	-	91.1	0.0	2404.4	96.2	2370.5	22.0	98.5	1.6	1.6	0.0	0.0	2404.4	96.2	2370.5	22.0
15:33:49, Thursday, March 20, 2025	3.594	1600.5	1468.5	-	91.8	0.0	2404.3	96.4	2409.0	49.5	98.5	1.6	1.6	0.0	0.0	2404.3	96.4	2409.0	49.5
15:33:49, Thursday, March 20, 2025	4.172	1606.0	1468.5	-	91.4	0.0	2404.4	96.2	2370.5	33.0	98.5	1.6	1.6	0.0	0.0	2404.4	96.2	2370.5	33.0
15:33:50, Thursday, March 20, 2025	4.766	1600.5	1468.5	-	91.8	0.0	2404.6	96.0	2365.0	33.0	98.5	1.6	1.6	0.0	0.0	2404.6	96.0	2365.0	33.0
15:33:50, Thursday, March 20, 2025	5.344	1606.0	1468.5	-	91.4	0.0	2404.5	96.6	2381.5	27.5	98.5	1.6	1.6	0.0	0.0	2404.5	96.6	2381.5	27.5
15:33:51, Thursday, March 20, 2025	5.937	1606.0	1468.5	-	91.4	0.0	2404.4	96.4	2392.5	49.5	98.5	1.6	1.6	0.0	0.0	2404.4	96.4	2392.5	49.5
15:33:51, Thursday, March 20, 2025	6.516	1606.0	1468.5	-	91.4	0.0	2404.5	96.5	2392.5	33.0	98.5	1.6	1.6	0.0	0.0	2404.5	96.5	2392.5	33.0
15:33:52, Thursday, March 20, 2025	7.062	1606.0	1463.0	-	91.1	0.0	2404.3	96.5	2359.5	16.5	98.5	1.6	1.6	0.0	0.0	2404.3	96.5	2359.5	16.5
15:33:53, Thursday, March 20, 2025	7.656	1600.5	1468.5	-	91.8	0.0	2404.4	96.4	2381.5	33.0	98.5	1.6	1.6	0.0	0.0	2404.4	96.4	2381.5	33.0
15:33:53, Thursday, March 20, 2025	8.234	1606.0	1468.5	-	91.4	0.0	2404.3	96.6	2365.0	22.0	98.5	1.6	1.6	0.0	0.0	2404.3	96.6	2365.0	22.0
15:33:54, Thursday, March 20, 2025	8.812	1606.0	1463.0	-	91.1	0.0	2404.2	96.7	2376.0	27.5	98.5	1.6	1.6	0.0	0.0	2404.2	96.7	2376.0	27.5
15:33:54, Thursday, March 20, 2025	9.391	1606.0	1463.0	-	91.1	0.0	2404.3	96.7	2381.5	27.5	98.5	1.6	1.6	0.0	0.0	2404.3	96.7	2381.5	27.5
15:33:55, Thursday, March 20, 2025	9.969	1606.0	1468.5	-	91.4	0.0	2404.3	96.1	2403.5	44.0	98.5	1.6	1.6	0.0	0.0	2404.3	96.1	2403.5	44.0
15:33:55, Thursday, March 20, 2025	10.531	1606.0	1463.0	-	91.1	0.0	2404.4	96.4	2370.5	38.5	98.5	1.6	1.6	0.0	0.0	2404.4	96.4	2370.5	38.5
15:33:56, Thursday, March 20, 2025	11.094	1606.0	1468.5	-	91.4	0.0	2404.4	96.1	2365.0	27.5	98.5	1.6	1.6	0.0	0.0	2404.4	96.1	2365.0	27.5
15:33:57, Thursday, March 20, 2025	11.672	1606.0	1468.5	-	91.4	0.0	2404.4	96.1	2370.5	22.0	98.5	1.6	1.6	0.0	0.0	2404.4	96.1	2370.5	22.0
